UZ_ID,DataSegment,Study_Time,StartDate,EndDate,SEGMENT,OS,BROWSER,SCREEN,BROWSER_RESOLUTION,C6370_0,C6370_1,C6370_2,C6370_3,C6370_4,C6370_5,C6370_6,C6370_7,C6370_8,C6370_1110,C7442_0_0,C7442_0_1,C7442_1_0,C7442_1_1,C7442_2_0,C7442_2_1,C7442_3_0,C7442_3_1,C7442_4_0,C7442_4_1,C7442_5_0,C7442_5_1,C7442_6_0,C7442_6_1,C7442_7_0,C7442_7_1,C7442_8_0,C7442_8_1,C7442_9_0,C7442_9_1,C7442_10_0,C7442_10_1,C7443_0_0,C7443_0_1,C7443_1_0,C7443_1_1,C7443_2_0,C7443_2_1,C7443_3_0,C7443_3_1,C7443_4_0,C7443_4_1,C7443_5_0,C7443_5_1,C7445_0_0,C7445_0_1,C7445_1_0,C7445_1_1,C7445_2_0,C7445_2_1,C7445_3_0,C7445_3_1,C7446_0_0,C7446_0_1,C7446_1_0,C7446_1_1,C7446_2_0,C7446_2_1,C7446_3_0,C7446_3_1,C7446_4_0,C7446_4_1,C7446_5_0,C7446_5_1,C7447_0_0,C7447_0_1,C7447_1_0,C7447_1_1,C7447_2_0,C7447_2_1,C7448_0_0,C7448_0_1,C7448_1_0,C7448_1_1,C7448_2_0,C7448_2_1,C7449_0_0,C7449_0_1,C7449_1_0,C7449_1_1,C7449_2_0,C7449_2_1,C7449_3_0,C7449_3_1,C7449_4_0,C7449_4_1,C7450_0_0,C7450_0_1,C7450_1_0,C7450_1_1,C7450_2_0,C7450_2_1,C7450_3_0,C7450_3_1,C7450_4_0,C7450_4_1,C7450_5_0,C7450_5_1,C7450_6_0,C7450_6_1,C7450_7_0,C7450_7_1,C7451_0_0,C7451_0_1,C7451_1_0,C7451_1_1,C7451_2_0,C7451_2_1,C7451_3_0,C7451_3_1,C7451_4_0,C7451_4_1,C7451_5_0,C7451_5_1,C7452_0_0,C7452_0_1,C7452_1_0,C7452_1_1,C7452_2_0,C7452_2_1,C7452_3_0,C7452_3_1,C7452_4_0,C7452_4_1,C7452_5_0,C7452_5_1,C6377_0,C6377_1,C6377_2,C6377_3,C6377_4,C6377_5,C6377_6,C6377_7,C6377_999,C7454_0,C7454_1,C7454_2,C7454_3,C7454_4,C7454_999,C7456,C7457,C7460
C1009S219_1598,0,175155,2021/07/21 09:05:09,2021/07/23 09:44:24,0,20,103,11,41,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,999,1,8
C1009S219_1603,0,339,2021/07/21 17:16:36,2021/07/21 17:22:15,0,4,6,4,14,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,7
C1009S219_1608,0,2551,2021/07/23 11:09:06,2021/07/23 11:51:37,0,20,103,7,8,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,1,1,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,1,3
C1009S219_1627,0,1070,2021/07/27 17:04:55,2021/07/27 17:22:45,0,4,41,5,43,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,999,0,2
C1009S219_1664,0,3826,2021/07/30 14:39:43,2021/07/30 15:43:29,0,4,6,5,20,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,0,0,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,18,1,8
C1009S219_1667,0,5623,2021/07/30 17:53:55,2021/07/30 19:27:38,0,4,6,4,22,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,1,1,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,22,0,7
C1009S219_1673,0,1225,2021/08/01 10:04:09,2021/08/01 10:24:34,0,29,6,50,6,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,0,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,22,0,7
C1009S219_1708,0,4914,2021/08/03 17:21:54,2021/08/03 18:43:48,0,4,6,26,20,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,999,0,8
C1009S219_1725,0,1495,2021/08/04 15:29:22,2021/08/04 15:54:17,0,29,9999,54,37,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,99999,99999,99999,99999,99999,99999,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,5,0,10
C1009S219_1728,0,1341,2021/08/05 08:15:56,2021/08/05 08:38:17,0,29,9999,54,13,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,0,0,0,0,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,27,0,10
C1009S219_1730,0,14839,2021/08/05 19:02:52,2021/08/05 23:10:11,0,4,6,99999,99999,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,1,1,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,7
C1009S219_1738,0,1107,2021/08/09 14:54:39,2021/08/09 15:13:06,0,20,6,7,8,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,21,1,8
C1009S219_1740,0,1519,2021/08/09 15:33:13,2021/08/09 15:58:32,0,4,6,4,18,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,0,10
C1009S219_2771,0,1635,2021/09/07 18:06:29,2021/09/07 18:33:44,0,4,6,57,99999,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0,0,0,0,99999,99999,99999,99999,99999,99999,1,1,1,1,1,1,0,0,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,0,8
